          indegree  1-nhood  2-nhood  3-nhood
47614741       444      444     2366     5080
51204521       360      360     2580     5454
52376694       339      339     1498     3404
48351911       305      305     2395     5319
45787627       283      283     2202     5208
45787665       267      267     1964     4789
46666643       235      235      864     1446
53608703       213      213     1954     4383
54068562       213      213      940     1561
23000850       203      203     1054     2638
45790770       177      177      883     1752
50002972       173      173     1261     2521
52222455       171      171      792     1554
53135482       156      156     1321     3720
46973413       154      154      608     1091
46450006       153      153     1159     3293
49983949       151      151      796     1585
53289262       148      148      692     1773
53606572       145      145     1279     3429
47014187       144      144      872     2436
